XLS_RowNumber	CustomerID	Calendarday	month	PerformanceEvaluationPlanned	PerformanceEvaluationExecuted	ExternalEvaluation	TERRID	SAPECCSalesGroup	SAPECoeficient	APECoeficient	FPECoeficient	SAMEDAYVISIT	OVERDUE	UNDERDUE	OK	NOTOK	STATUS	OVERDUEDAYS
4972	100000489	2017-10-06	10	1	0	0	Employee 4	Team 10				 	 	 	 	 	 	 
5000	100000490	2017-09-29	9	1	0	0	Employee 4	Team 10				 	 	 	 	 	 	 
5002	100000490	2017-10-06	10	1	0	0	Employee 4	Team 10				 	 	 	 	 	 	 
5040	100000491	2017-09-28	9	1	0	0	Employee 4	Team 10				 	 	 	 	 	 	 
5042	100000491	2017-10-06	10	1	0	0	Employee 4	Team 10				 	 	 	 	 	 	 
5068	100000493	2017-09-27	9	1	0	0	Employee 31	Team 10				 	 	 	 	 	 	 
5070	100000493	2017-10-03	10	1	0	0	Employee 31	Team 10				 	 	 	 	 	 	 
5072	100000493	2017-10-10	10	1	0	0	Employee 31	Team 10				 	 	 	 	 	 	 
5112	100000496	2017-09-27	9	1	0	0	Employee 4	Team 10				 	 	 	 	 	 	 
5114	100000496	2017-10-03	10	1	0	0	Employee 4	Team 10				 	 	 	 	 	 	 
5116	100000496	2017-10-10	10	1	0	0	Employee 4	Team 10				 	 	 	 	 	 	 
5146	100000497	2017-10-04	10	1	0	0	Employee 4	Team 10				 	 	 	 	 	 	 
5158	100000498	2017-07-04	7	1	0	0	Employee 31	Team 10				 	 	 	 	 	 	 
5167	100000498	2017-10-04	10	1	0	0	Employee 31	Team 10				 	 	 	 	 	 	 
5174	100000500	2017-05-09	5	1	0	0	Employee 3	Team 10				 	 	 	 	 	 	 
5175	100000500	2017-05-23	5	1	0	0	Employee 3	Team 10				 	 	 	 	 	 	 
5176	100000500	2017-06-06	6	1	0	0	Employee 3	Team 10				 	 	 	 	 	 	 
5177	100000500	2017-06-20	6	1	0	0	Employee 3	Team 10				 	 	 	 	 	 	 
5178	100000500	2017-07-04	7	1	0	0	Employee 3	Team 10				 	 	 	 	 	 	 
5180	100000500	2017-07-27	7	1	0	0	Employee 3	Team 10				 	 	 	 	 	 	 
5181	100000500	2017-08-10	8	1	0	0	Employee 3	Team 10				 	 	 	 	 	 	 
5183	100000500	2017-09-07	9	1	0	0	Employee 3	Team 10				 	 	 	 	 	 	 
5189	100000502	2017-07-04	7	1	0	0	Employee 3	Team 10				 	 	 	 	 	 	 
5207	100000503	2017-07-03	7	1	0	0	Employee 31	Team 10				 	 	 	 	 	 	 
5220	100000503	2017-09-28	9	1	0	0	Employee 31	Team 10				 	 	 	 	 	 	 
5221	100000503	2017-10-04	10	1	0	0	Employee 31	Team 10				 	 	 	 	 	 	 
5236	100000506	2017-07-19	7	1	0	0	Employee 31	Team 10				 	 	 	 	 	 	 
5237	100000506	2017-07-26	7	1	0	0	Employee 31	Team 10				 	 	 	 	 	 	 
5247	100000506	2017-09-28	9	1	0	0	Employee 31	Team 10				 	 	 	 	 	 	 
5248	100000506	2017-10-04	10	1	0	0	Employee 31	Team 10				 	 	 	 	 	 	 
5354	100000510	2017-09-27	9	1	0	0	Employee 4	Team 10				 	 	 	 	 	 	 
5356	100000510	2017-09-29	9	1	0	0	Employee 4	Team 10				 	 	 	 	 	 	 
5358	100000510	2017-10-03	10	1	0	0	Employee 4	Team 10				 	 	 	 	 	 	 
5360	100000510	2017-10-06	10	1	0	0	Employee 4	Team 10				 	 	 	 	 	 	 
5362	100000510	2017-10-10	10	1	0	0	Employee 4	Team 10				 	 	 	 	 	 	 
5398	100000511	2017-07-04	7	1	0	0	Employee 31	Team 10				 	 	 	 	 	 	 
5412	100000511	2017-09-27	9	1	0	0	Employee 31	Team 10				 	 	 	 	 	 	 
5414	100000511	2017-10-04	10	1	0	0	Employee 31	Team 10				 	 	 	 	 	 	 
5416	100000511	2017-10-12	10	1	0	0	Employee 31	Team 10				 	 	 	 	 	 	 
5441	100000513	2017-09-27	9	1	0	0	Employee 4	Team 10				 	 	 	 	 	 	 
5443	100000513	2017-10-12	10	1	0	0	Employee 4	Team 10				 	 	 	 	 	 	 
5474	100000514	2017-09-27	9	1	0	0	Employee 4	Team 10				 	 	 	 	 	 	 
5476	100000514	2017-10-03	10	1	0	0	Employee 4	Team 10				 	 	 	 	 	 	 
5478	100000514	2017-10-10	10	1	0	0	Employee 4	Team 10				 	 	 	 	 	 	 
5497	100000515	2017-07-04	7	1	0	0	Employee 31	Team 10				 	 	 	 	 	 	 
5510	100000515	2017-09-27	9	1	0	0	Employee 31	Team 10				 	 	 	 	 	 	 
5512	100000515	2017-10-04	10	1	0	0	Employee 31	Team 10				 	 	 	 	 	 	 
5514	100000515	2017-10-12	10	1	0	0	Employee 31	Team 10				 	 	 	 	 	 	 
5551	100000517	2017-10-02	10	1	0	0	Employee 4	Team 10				 	 	 	 	 	 	 
5553	100000517	2017-10-09	10	1	0	0	Employee 4	Team 10				 	 	 	 	 	 	 
5559	100000517	2017-11-13	11	1	0	0	Employee 4	Team 10				 	 	 	 	 	 	 
5591	100000518	2017-09-27	9	1	0	0	Employee 4	Team 10				 	 	 	 	 	 	 
